routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.11488791942942668,0.6824953377256516,0.02468028913694148
R2: Env -> Scaling -> CNN,0.176645076264191,0.6319882844374707,0.07357966272490418
R3: Scaling -> Sequencing -> LSTM,0.1174722623478606,0.35217316006880817,0.013628022728259616
R4: Env -> Scaling -> Sequencing -> LSTM,0.15682969775642505,0.3389771568346843,0.02833337938582946
R5: FFT -> Scaling -> CNN,0.14929610550360328,0.6256277297713461,0.08277532629360565
R6: Env -> FFT -> Scaling -> CNN,0.17317159297852855,0.629379327168684,0.0075091738475852
R7: FFT -> Scaling -> Resampling -> DNN,0.11611740889080882,0.9348190423739384,0.02328534149256548
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09920319293310279,0.9137755415627141,0.040413066675724585
R9: ZoomedFFT -> Scaling -> CNN,0.1486823221643627,0.6504965999390937,0.06866514320990647
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.15152722191029577,0.6832000385149255,0.016424860772796642
R11: ZoomedFFT -> Scaling -> DNN,0.2017408980955585,0.8552198625215502,0.006436367345572286
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.1223685105935489,0.9437187535965705,0.07560905285504135
