routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10199285709055908,0.28346776920103417,0.002258270636628898
R2: Env -> Scaling -> CNN,0.19123162162296722,0.375179437701264,0.030700962239906045
R3: Scaling -> Sequencing -> LSTM,0.10940199707392861,0.17974287618204443,0.001365025691111415
R4: Env -> Scaling -> Sequencing -> LSTM,0.15499671609033228,0.20135853387355196,0.0017242558314402188
R5: FFT -> Scaling -> CNN,0.14417577695207964,0.2954485243859476,0.023786337496362903
R6: Env -> FFT -> Scaling -> CNN,0.15682795842889846,0.4257869984056261,0.003630006633291055
R7: FFT -> Scaling -> Resampling -> DNN,0.10809475139993854,0.5612443757316418,0.03474247376064708
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09547381470411713,0.5253642244683134,0.0014547632006508746
R9: ZoomedFFT -> Scaling -> CNN,0.13802493158651336,0.22125036993117003,0.036106823793330564
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.16397949531139264,0.3851664169180337,0.0020216951370696564
R11: ZoomedFFT -> Scaling -> DNN,0.17620108145697386,0.6705927689690906,0.000637537362964139
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11569617619465139,0.7616780407300822,0.0049069713289971485
