routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.09978677691467064,0.3103106645920355,0.01122402070495753
R2: Env -> Scaling -> CNN,0.1870243186628473,0.38948112323001954,0.041700129046709555
R3: Scaling -> Sequencing -> LSTM,0.11775179053805511,0.20788218839800157,0.0108060344734677
R4: Env -> Scaling -> Sequencing -> LSTM,0.1603769846984553,0.22985774689653687,0.003989025763993565
R5: FFT -> Scaling -> CNN,0.14301822900665123,0.35173626650986767,0.004184666920640092
R6: Env -> FFT -> Scaling -> CNN,0.16913450588632134,0.4065399133379369,0.0038052571803367475
R7: FFT -> Scaling -> Resampling -> DNN,0.12142874382472921,0.4801739341383873,0.004052902061191033
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09668138032858072,0.5128455405625711,0.022191795287319106
R9: ZoomedFFT -> Scaling -> CNN,0.13844801111309477,0.37925151622069925,0.016754307851309228
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.1627228266341073,0.38864308444803936,0.0035896643978987315
R11: ZoomedFFT -> Scaling -> DNN,0.19834500670342872,0.6416804685618288,0.0014602761485940643
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11283563014644944,0.6117793778714625,0.07040770233588609
