routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.09780296014181264,0.9981126489712464,0.24553731654071803
R2: Env -> Scaling -> CNN,0.19069926824477235,0.9702352185604477,0.25261980846136056
R3: Scaling -> Sequencing -> LSTM,0.12239787000484252,0.9245882221595833,0.056629661333835284
R4: Env -> Scaling -> Sequencing -> LSTM,0.15234332008798712,0.8472632931636286,0.059709079740624005
R5: FFT -> Scaling -> CNN,0.12573813329569453,0.9962310127642304,0.17323708624100387
R6: Env -> FFT -> Scaling -> CNN,0.17498556933231504,0.9404549340053835,0.11198240309480746
R7: FFT -> Scaling -> Resampling -> DNN,0.10905400281875205,1.0,0.005735361549441833
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.08696351454085066,0.9808702824064882,0.029591108650952838
R9: ZoomedFFT -> Scaling -> CNN,0.1486644289616799,0.9948714737372656,0.19494234078638847
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.17200933969646728,0.937936286607162,0.10193553888559152
R11: ZoomedFFT -> Scaling -> DNN,0.1998354638354215,0.9834791899693628,0.01621815903913215
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.10626949880973928,0.9970757596219537,0.04330087261778141
