routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.11948675176184244,0.7081689722548312,0.03618794004937269
R2: Env -> Scaling -> CNN,0.18821484428991686,0.7361578335723749,0.08324076395714887
R3: Scaling -> Sequencing -> LSTM,0.10946397620282107,0.7333512314646099,0.03298436326067367
R4: Env -> Scaling -> Sequencing -> LSTM,0.15165040178863992,0.6266812512143848,0.034351583271127986
R5: FFT -> Scaling -> CNN,0.14916905440256625,0.7808095537683065,0.08053510946401791
R6: Env -> FFT -> Scaling -> CNN,0.1823891031986047,0.7672617678035143,0.012028649762518875
R7: FFT -> Scaling -> Resampling -> DNN,0.10978548251903662,0.9579443612430774,0.006137652153483251
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09517722216992677,0.9218964366225345,0.04071989578253125
R9: ZoomedFFT -> Scaling -> CNN,0.14834002660437853,0.7569690600557052,0.09799413320162344
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.17915852889327574,0.7549615103528828,0.015265765453445511
R11: ZoomedFFT -> Scaling -> DNN,0.18421531141849298,0.9242687111970124,0.004757217269629512
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.12997951707546232,0.9540513954288528,0.016673645577055182
