routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10460319013994629,0.591234087902439,0.013845717557652057
R2: Env -> Scaling -> CNN,0.18300594923395722,0.6074606114722269,0.08136929714345213
R3: Scaling -> Sequencing -> LSTM,0.11590974997692934,0.29438607263317945,0.01580577793643405
R4: Env -> Scaling -> Sequencing -> LSTM,0.14303139319583613,0.27209551183376335,0.024857678577513212
R5: FFT -> Scaling -> CNN,0.12715687343439988,0.6018179745669928,0.09037253193173163
R6: Env -> FFT -> Scaling -> CNN,0.19293123692029443,0.5921671654823751,0.008283731460667732
R7: FFT -> Scaling -> Resampling -> DNN,0.10729975481318167,0.8737451642682132,0.024303969116428438
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09055958099882513,0.8645119977669907,0.01274952213995426
R9: ZoomedFFT -> Scaling -> CNN,0.152203598254168,0.494226719038808,0.06680172953614773
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.17235563776024324,0.577807413946117,0.004867432890712595
R11: ZoomedFFT -> Scaling -> DNN,0.19195964289537165,0.8142743180649842,0.0005968902465096115
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11171155505070451,0.9066466151965568,0.04352339959341844
