routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10528898215741535,0.7788599782344563,0.03792906890275601
R2: Env -> Scaling -> CNN,0.1785545011745286,0.7360405970934649,0.11121478173225796
R3: Scaling -> Sequencing -> LSTM,0.10884039653741498,0.5134284594880725,0.02406514735048157
R4: Env -> Scaling -> Sequencing -> LSTM,0.15245407888238816,0.43345496487397334,0.013849941908000566
R5: FFT -> Scaling -> CNN,0.14298804577855811,0.6528010564784791,0.09028506621681123
R6: Env -> FFT -> Scaling -> CNN,0.17161824321784647,0.7901772868908828,0.051130438610835854
R7: FFT -> Scaling -> Resampling -> DNN,0.11758100616938712,0.9401507043353738,0.023748824962522178
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09498511439166754,0.9347978147704606,0.055544375005901404
R9: ZoomedFFT -> Scaling -> CNN,0.14433349290190114,0.7386664935935434,0.11050893408992889
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.16228457538007038,0.7592721855604028,0.03292355428002017
R11: ZoomedFFT -> Scaling -> DNN,0.1995868295654226,0.9319105530794978,0.010544109910255676
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11319013140719125,0.9384754676221183,0.05927675126703741
