routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.1052454842643755,0.44230371133291824,0.025854351425161716
R2: Env -> Scaling -> CNN,0.2006876456043283,0.5084734528263236,0.04615691084586916
R3: Scaling -> Sequencing -> LSTM,0.11160712598552626,0.4259269238975222,0.02834055980606284
R4: Env -> Scaling -> Sequencing -> LSTM,0.14473502460114757,0.39051637473451695,0.013976142574158803
R5: FFT -> Scaling -> CNN,0.13225996899485284,0.48489394431833044,0.0669608919441395
R6: Env -> FFT -> Scaling -> CNN,0.18070666789666243,0.5256031956349021,0.004747605952672772
R7: FFT -> Scaling -> Resampling -> DNN,0.11531116402295079,0.6603140991797891,0.0003322649525825377
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.0978703779081114,0.599783421076622,0.00586758579636563
R9: ZoomedFFT -> Scaling -> CNN,0.14658941519928909,0.4932591556228767,0.09092370876686193
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.16738903930641325,0.5217188667110201,0.007399891802001286
R11: ZoomedFFT -> Scaling -> DNN,0.19011397452541384,0.6523460110596031,0.0014119245074154655
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.11183508509240603,0.6323528197409084,0.003870116472951074
