routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.10517274806116338,0.10501092172609354,0.0
R2: Env -> Scaling -> CNN,0.1869015354117913,0.18586407910751668,2.3517706061597978e-08
R3: Scaling -> Sequencing -> LSTM,0.1076482626814613,0.11764332986900666,0.011800278266272944
R4: Env -> Scaling -> Sequencing -> LSTM,0.16147070137482464,0.16728196168842277,0.0040643794491353955
R5: FFT -> Scaling -> CNN,0.14487459761125643,0.14449138360045238,0.0
R6: Env -> FFT -> Scaling -> CNN,0.17212176098820722,0.1745403054261713,7.514414222775052e-08
R7: FFT -> Scaling -> Resampling -> DNN,0.11651335894566256,0.14715261347489814,0.06592775172564531
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.097618738607155,0.1093832629754896,0.0899474663006435
R9: ZoomedFFT -> Scaling -> CNN,0.1515034067122368,0.15137630774860183,0.0
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.15640224092012509,0.16049724215572414,2.1303738178552285e-08
R11: ZoomedFFT -> Scaling -> DNN,0.19517400639215293,0.20989566327448614,6.699218513068423e-05
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.10820692891724965,0.1088692466319523,0.00214918652376378
