routine,base_area,gain_area,drop_area
R1: Scaling -> CNN,0.1113782652114704,0.7589868618377883,0.037405120207452375
R2: Env -> Scaling -> CNN,0.18202879541331113,0.693419197097015,0.09712606648971481
R3: Scaling -> Sequencing -> LSTM,0.11290027098567157,0.4621496004835196,0.03375764981670884
R4: Env -> Scaling -> Sequencing -> LSTM,0.16038751304193258,0.3368919180931974,0.02456870979570828
R5: FFT -> Scaling -> CNN,0.149948378091772,0.72927298721074,0.08649164091008778
R6: Env -> FFT -> Scaling -> CNN,0.16243431605606012,0.6830180804398507,0.010462331207592539
R7: FFT -> Scaling -> Resampling -> DNN,0.10983022495977572,0.9598324231939396,0.00039935187106567916
R8: Env -> FFT -> Scaling -> Resampling -> DNN,0.09217669893877732,0.9536618206148471,0.029358361438684047
R9: ZoomedFFT -> Scaling -> CNN,0.14682784732028575,0.7447756490956711,0.11235850551224093
R10: Env -> ZoomedFFT -> Scaling -> CNN,0.14633247559087242,0.6461811916762211,0.011197615651422084
R11: ZoomedFFT -> Scaling -> DNN,0.20026662304595108,0.8856187908130225,0.008476290865907314
R12: Env -> ZoomedFFT -> Scaling -> DNN,0.12124519754183069,0.9657574968954906,0.07662746581722757
